STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/2/2017,0.02,,54,61,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/3/2017,0.59,,55,66,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/4/2017,0.12,,56,65,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/5/2017,0.02,,60,68,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/6/2017,0,,59,71,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/7/2017,0,,60,67,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/8/2017,0,,58,63,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/9/2017,0.08,,50,,47
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/10/2017,0,,56,67,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/11/2017,0.01,,58,67,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/12/2017,0,,57,67,48
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/13/2017,0.04,,57,68,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/14/2017,0,,56,64,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/15/2017,,,56,66,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/16/2017,0,,57,67,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/17/2017,0,,60,75,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/18/2017,0,,60,72,54
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/19/2017,0,,59,68,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/20/2017,0,,58,67,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/21/2017,,,57,67,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/22/2017,0,,56,68,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/23/2017,0,,56,68,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/24/2017,0,,60,,49
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/25/2017,0,,64,74,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/26/2017,0,,58,68,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/27/2017,0,,53,61,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/28/2017,,,48,53,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/29/2017,0,,49,61,43
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/30/2017,0,,51,63,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",1/31/2017,0,,52,63,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/1/2017,0,,47,58,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/2/2017,0,,51,63,43
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/3/2017,0,,53,68,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/4/2017,0,,56,66,46
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/5/2017,0,,57,,48
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/6/2017,0,,59,70,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/7/2017,0,,62,76,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/8/2017,0,,67,78,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/9/2017,0.03,,60,,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/10/2017,0.02,,60,69,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/11/2017,0,,59,69,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/12/2017,0.08,,56,,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/13/2017,0.08,,54,63,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/14/2017,0.12,,51,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/15/2017,0.28,,51,62,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/16/2017,0.16,,50,61,45
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/17/2017,0,,51,63,45
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/18/2017,0,,53,65,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/19/2017,0,,57,72,49
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/20/2017,0,,58,70,47
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/21/2017,0,,57,67,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/22/2017,0,,58,69,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/23/2017,0,,60,69,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/24/2017,0,,60,72,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/25/2017,0,,61,75,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/26/2017,0,,62,,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/27/2017,0,,64,72,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",2/28/2017,0,,70,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/1/2017,0.12,,65,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/2/2017,0.04,,63,68,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/3/2017,0.2,,57,64,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/4/2017,0.08,,58,68,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/5/2017,0,,60,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/6/2017,0,,62,,54
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/7/2017,0,,62,,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/8/2017,0,,62,71,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/9/2017,0,,68,85,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/10/2017,0.01,,65,79,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/11/2017,0.16,,61,,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/12/2017,0.02,,67,77,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/13/2017,0.12,,61,67,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/14/2017,0.2,,60,67,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/15/2017,0.08,,54,57,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/16/2017,0,,58,66,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/17/2017,0.08,,60,64,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/18/2017,0.02,,61,65,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/19/2017,0,,60,67,54
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/20/2017,0,,62,67,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/21/2017,0,,62,68,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/22/2017,0,,61,66,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/23/2017,0,,63,,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/24/2017,0,,62,72,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/25/2017,0,,62,74,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/26/2017,0,,62,70,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/27/2017,0.01,,62,69,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/28/2017,0,,62,70,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/29/2017,0,,65,73,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/30/2017,0,,69,86,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",3/31/2017,,,65,74,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/1/2017,0,,63,,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/2/2017,0.16,,62,69,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/3/2017,0,,64,71,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/4/2017,0,,66,,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/5/2017,0,,78,90,65
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/6/2017,0,,67,76,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/7/2017,0,,65,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/8/2017,0,,64,70,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/9/2017,0,,64,70,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/10/2017,0,,64,72,57
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/11/2017,0,,67,78,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/12/2017,0,,76,91,64
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/13/2017,0.02,,69,81,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/14/2017,0.08,,66,,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/15/2017,0.16,,65,70,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/16/2017,0.01,,65,,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/17/2017,0,,67,74,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/18/2017,0,,66,73,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/19/2017,0,,66,,58
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/20/2017,0,,67,,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/21/2017,0,,74,88,59
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/22/2017,0,,78,,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/23/2017,0,,66,71,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/24/2017,0,,65,71,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/25/2017,0,,66,73,56
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/26/2017,0,,70,80,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/27/2017,0,,68,76,62
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/28/2017,0,,67,74,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/29/2017,0,,67,75,60
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",4/30/2017,0.01,,69,81,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/1/2017,0,,70,78,64
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/2/2017,,,69,,62
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/3/2017,0.04,,69,76,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/4/2017,0,,69,,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/5/2017,0,,69,76,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/6/2017,0,,70,77,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/7/2017,0,,69,76,62
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/8/2017,0,,72,81,61
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/9/2017,0,,81,98,69
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/10/2017,0,,78,,69
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/11/2017,0,,71,78,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/12/2017,0,,71,80,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/13/2017,0,,73,,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/14/2017,0,,75,81,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/15/2017,0,,75,80,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/16/2017,0,,73,80,68
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/17/2017,0,,76,84,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/18/2017,0,,78,,69
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/19/2017,0.02,,73,80,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/20/2017,0.12,,69,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/21/2017,0,,70,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/22/2017,,,74,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/23/2017,0.02,,72,77,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/24/2017,0.08,,71,,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/25/2017,0,,72,,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/26/2017,0,,72,79,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/27/2017,0,,76,85,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/28/2017,0,,74,81,68
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/29/2017,0,,74,83,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/30/2017,0,,73,80,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",5/31/2017,0,,72,,63
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/1/2017,0,,73,80,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/2/2017,0,,74,,65
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/3/2017,0,,75,81,66
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/4/2017,0,,76,83,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/5/2017,0,,76,83,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/6/2017,0,,75,82,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/7/2017,0,,78,,67
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/8/2017,0,,80,92,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/9/2017,0,,79,,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/10/2017,0,,78,85,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/11/2017,0,,76,,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/12/2017,0,,77,83,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/13/2017,0,,77,,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/14/2017,0.01,,77,84,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/15/2017,0,,77,84,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/16/2017,0,,78,85,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/17/2017,0,,79,87,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/18/2017,,,79,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/19/2017,0,,79,87,70
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/20/2017,0,,78,,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/21/2017,0,,78,,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/22/2017,0,,78,85,73
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/23/2017,0,,79,,71
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/24/2017,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/25/2017,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/26/2017,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/27/2017,,,81,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/28/2017,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/29/2017,,,80,,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",6/30/2017,,,82,,
LEM00040101,"HOUCHE AL OUMARA, LE",1/2/2017,,,41,43,
LEM00040101,"HOUCHE AL OUMARA, LE",1/3/2017,0.63,,41,47,37
LEM00040101,"HOUCHE AL OUMARA, LE",1/4/2017,0.16,,42,47,37
LEM00040101,"HOUCHE AL OUMARA, LE",1/5/2017,0.08,,46,,40
LEM00040101,"HOUCHE AL OUMARA, LE",1/6/2017,0,,48,60,38
LEM00040101,"HOUCHE AL OUMARA, LE",1/7/2017,0,,44,,37
LEM00040101,"HOUCHE AL OUMARA, LE",1/8/2017,0,,42,46,
LEM00040101,"HOUCHE AL OUMARA, LE",1/9/2017,0.35,,35,,
LEM00040101,"HOUCHE AL OUMARA, LE",1/10/2017,0.51,,40,50,30
LEM00040101,"HOUCHE AL OUMARA, LE",1/11/2017,0,,42,54,35
LEM00040101,"HOUCHE AL OUMARA, LE",1/12/2017,0,,40,,30
LEM00040101,"HOUCHE AL OUMARA, LE",1/13/2017,0.02,,43,50,
LEM00040101,"HOUCHE AL OUMARA, LE",1/14/2017,0.02,,42,49,35
LEM00040101,"HOUCHE AL OUMARA, LE",1/15/2017,0.55,,41,46,37
LEM00040101,"HOUCHE AL OUMARA, LE",1/16/2017,0.01,,45,58,37
LEM00040101,"HOUCHE AL OUMARA, LE",1/17/2017,0,,45,63,33
LEM00040101,"HOUCHE AL OUMARA, LE",1/18/2017,0,,47,,36
LEM00040101,"HOUCHE AL OUMARA, LE",1/19/2017,0,,47,57,36
LEM00040101,"HOUCHE AL OUMARA, LE",1/20/2017,0,,44,58,33
LEM00040101,"HOUCHE AL OUMARA, LE",1/21/2017,0.04,,44,53,
LEM00040101,"HOUCHE AL OUMARA, LE",1/23/2017,,,42,57,32
LEM00040101,"HOUCHE AL OUMARA, LE",1/24/2017,0,,47,,35
LEM00040101,"HOUCHE AL OUMARA, LE",1/25/2017,0.08,,51,57,46
LEM00040101,"HOUCHE AL OUMARA, LE",1/26/2017,0.03,,45,52,
LEM00040101,"HOUCHE AL OUMARA, LE",1/27/2017,1.54,,37,,
LEM00040101,"HOUCHE AL OUMARA, LE",1/31/2017,0.02,1,38,45,
LEM00040101,"HOUCHE AL OUMARA, LE",2/1/2017,0.12,,30,,25
LEM00040101,"HOUCHE AL OUMARA, LE",2/2/2017,0,,38,51,28
LEM00040101,"HOUCHE AL OUMARA, LE",2/3/2017,0,,40,57,27
LEM00040101,"HOUCHE AL OUMARA, LE",2/4/2017,0,,42,56,32
LEM00040101,"HOUCHE AL OUMARA, LE",2/5/2017,0,,43,62,34
LEM00040101,"HOUCHE AL OUMARA, LE",2/6/2017,0,,45,61,34
LEM00040101,"HOUCHE AL OUMARA, LE",2/7/2017,0,,51,65,38
LEM00040101,"HOUCHE AL OUMARA, LE",2/8/2017,0,,49,59,
LEM00040101,"HOUCHE AL OUMARA, LE",2/9/2017,0.01,,40,,35
LEM00040101,"HOUCHE AL OUMARA, LE",2/10/2017,0,,48,62,39
LEM00040101,"HOUCHE AL OUMARA, LE",2/11/2017,,,47,62,
LEM00040101,"HOUCHE AL OUMARA, LE",2/12/2017,0.04,,43,,39
LEM00040101,"HOUCHE AL OUMARA, LE",2/13/2017,0.31,,41,49,37
LEM00040101,"HOUCHE AL OUMARA, LE",2/14/2017,0.12,,39,41,36
LEM00040101,"HOUCHE AL OUMARA, LE",2/15/2017,0.31,,38,43,36
LEM00040101,"HOUCHE AL OUMARA, LE",2/16/2017,0.02,,34,40,
LEM00040101,"HOUCHE AL OUMARA, LE",2/17/2017,0,,36,47,25
LEM00040101,"HOUCHE AL OUMARA, LE",2/18/2017,0,,42,56,28
LEM00040101,"HOUCHE AL OUMARA, LE",2/19/2017,0,,45,59,33
LEM00040101,"HOUCHE AL OUMARA, LE",2/20/2017,0,,46,63,34
LEM00040101,"HOUCHE AL OUMARA, LE",2/21/2017,0,,46,60,33
LEM00040101,"HOUCHE AL OUMARA, LE",2/22/2017,0,,48,63,34
LEM00040101,"HOUCHE AL OUMARA, LE",2/23/2017,0,,47,62,37
LEM00040101,"HOUCHE AL OUMARA, LE",2/24/2017,0,,51,65,36
LEM00040101,"HOUCHE AL OUMARA, LE",2/25/2017,0,,53,69,39
LEM00040101,"HOUCHE AL OUMARA, LE",2/26/2017,0,,54,,40
LEM00040101,"HOUCHE AL OUMARA, LE",2/27/2017,0,,59,69,43
LEM00040101,"HOUCHE AL OUMARA, LE",2/28/2017,0,,58,67,47
LEM00040101,"HOUCHE AL OUMARA, LE",3/1/2017,0.28,,51,,
LEM00040101,"HOUCHE AL OUMARA, LE",3/2/2017,0.35,,52,64,46
LEM00040101,"HOUCHE AL OUMARA, LE",3/3/2017,0.24,,46,50,43
LEM00040101,"HOUCHE AL OUMARA, LE",3/4/2017,0.31,,49,62,39
LEM00040101,"HOUCHE AL OUMARA, LE",3/6/2017,0,,54,67,41
LEM00040101,"HOUCHE AL OUMARA, LE",3/7/2017,0,,56,70,45
LEM00040101,"HOUCHE AL OUMARA, LE",3/8/2017,0,,54,69,45
LEM00040101,"HOUCHE AL OUMARA, LE",3/9/2017,0,,60,75,45
LEM00040101,"HOUCHE AL OUMARA, LE",3/10/2017,0,,60,,
LEM00040101,"HOUCHE AL OUMARA, LE",3/11/2017,,,48,52,
LEM00040101,"HOUCHE AL OUMARA, LE",3/12/2017,,,46,63,
LEM00040101,"HOUCHE AL OUMARA, LE",3/13/2017,0.55,,48,55,45
LEM00040101,"HOUCHE AL OUMARA, LE",3/14/2017,0.24,,47,56,42
LEM00040101,"HOUCHE AL OUMARA, LE",3/15/2017,0.08,,44,47,
LEM00040101,"HOUCHE AL OUMARA, LE",3/16/2017,0.51,,46,54,38
LEM00040101,"HOUCHE AL OUMARA, LE",3/17/2017,0.02,,47,52,43
LEM00040101,"HOUCHE AL OUMARA, LE",3/18/2017,0.31,,60,68,46
LEM00040101,"HOUCHE AL OUMARA, LE",3/19/2017,0,,50,60,44
LEM00040101,"HOUCHE AL OUMARA, LE",3/20/2017,0,,50,56,43
LEM00040101,"HOUCHE AL OUMARA, LE",3/21/2017,0,,54,63,47
LEM00040101,"HOUCHE AL OUMARA, LE",3/22/2017,0,,51,60,43
LEM00040101,"HOUCHE AL OUMARA, LE",3/23/2017,0.01,,49,,46
LEM00040101,"HOUCHE AL OUMARA, LE",3/24/2017,0,,52,64,40
LEM00040101,"HOUCHE AL OUMARA, LE",3/25/2017,0,,54,69,41
LEM00040101,"HOUCHE AL OUMARA, LE",3/26/2017,,,59,70,
LEM00040101,"HOUCHE AL OUMARA, LE",3/27/2017,0,,55,69,44
LEM00040101,"HOUCHE AL OUMARA, LE",3/28/2017,0,,55,,43
LEM00040101,"HOUCHE AL OUMARA, LE",3/29/2017,,,56,72,42
LEM00040101,"HOUCHE AL OUMARA, LE",3/30/2017,0,,55,63,49
LEM00040101,"HOUCHE AL OUMARA, LE",3/31/2017,0.01,,58,67,46
LEM00040101,"HOUCHE AL OUMARA, LE",4/1/2017,0,,52,,46
LEM00040101,"HOUCHE AL OUMARA, LE",4/2/2017,0.16,,52,57,46
LEM00040101,"HOUCHE AL OUMARA, LE",4/3/2017,0,,55,,
