STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",02-01-17,0.02,,54,61,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",03-01-17,0.59,,55,66,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",04-01-17,0.12,,56,65,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",05-01-17,0.02,,60,68,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",06-01-17,0,,59,71,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",07-01-17,0,,60,67,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",08-01-17,0,,58,63,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",09-01-17,0.08,,50,,47
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",10-01-17,0,,56,67,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",11-01-17,0.01,,58,67,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",12-01-17,0,,57,67,48
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",13-01-17,0.04,,57,68,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",14-01-17,0,,56,64,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",15-01-17,,,56,66,51
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",16-01-17,0,,57,67,52
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",17-01-17,0,,60,75,50
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",18-01-17,0,,60,72,54
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",19-01-17,0,,59,68,55
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",20-01-17,0,,58,67,
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",21-01-17,,,57,67,53
LEM00040100,"RAFIC HARIRI INTERNATIONAL, LE",22-01-17,0,,56,68,
